function	classification	exposure	contract	original_returns	recovered_returns	original_carriers	recovered_carriers	original_evidence	recovered_evidence	escape_sources
byte_parser_op_02_mark_b16	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
byte_parser_op_0f_mark_b16	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
byte_parser_op_04_mark_b16	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
index_lookup_dca	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:32,bp:32,cx:16,di:16,dx:32	ax:16,dx:16	callee exits	direct callers	none
credit_presenter_b_cryo	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:8,di:16,si:16	ax:16,dx:16	callee exits	direct callers	none
byte_parser_copy_20b8_printable	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:8,di:16,si:16	ax:16,dx:16	callee exits	direct callers	none
byte_parser_snd_bank_name_load	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,di:16	ax:16,dx:16	callee exits	direct callers	none
byte_parser_copy_24c6_printable	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:8,di:16,si:16	ax:16,dx:16	callee exits	direct callers	none
dlg_line_asset_table_fill	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:32,di:16,si:16	ax:16,dx:16	callee exits	direct callers	none
byte_parser_store_word_1fa5	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,si:16	ax:16,dx:16	callee exits	direct callers	none
byte_parser_copy_2460_printable	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:8,di:16,si:16	ax:16,dx:16	callee exits	direct callers	none
byte_parser_copy_247a_printable	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:8,di:16,si:16	ax:16,dx:16	callee exits	direct callers	none
index_lookup_1fd7	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:32	ax:16,dx:16	callee exits	direct callers	none
byte_parser_copy_131a_entry	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:8,di:16,si:16	ax:16,dx:16	callee exits	direct callers	none
byte_parser_stream_0f18_append	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:8,di:16,si:16	ax:16,dx:16	callee exits	direct callers	none
fs_name_area_read	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,di:16,si:16	ax:16,dx:16	callee exits	direct callers	none
music_voc_name_patcher	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:8,di:16,si:16	ax:16,dx:16	callee exits	direct callers	none
bridge_render_frame	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
camera_fsm_state_gate	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
nav_state_gate	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
selected_mask_overlay	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	ax:16	direct callers	direct callers	none
list_walk_f18	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
presentation_mode_dispatch	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
camera_nav_update	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
screen_mode_update	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
nav_actor_slot_update_loop	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
presentation_line_helper	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	flags:1	ax:16	direct callers	direct callers	none
nav_actor_handler_1	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,bx:16	void	callee exits	direct callers	none
nav_actor_handler_0	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,bx:16	void	callee exits	direct callers	none
nav_actor_handler_5	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	bx:8	void	callee exits	direct callers	none
nav_actor_handler_2	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,di:16,si:16	void	callee exits	direct callers	none
nav_actor_handler_3	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16	void	callee exits	direct callers	none
nav_actor_handler_4	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,bx:16,si:16	void	callee exits	direct callers	none
mouse_hit_test	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
region_record_hittest	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	flags:1	ax:16	direct callers	direct callers	none
ui_region_31_poll	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	ax:16	ax:16	direct callers	direct callers	none
list_widget_layout_unified	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	ax:16	ax:16	direct callers	direct callers	none
nav_choice_dispatch	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
nav_choice_handler_0	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16	void	callee exits	direct callers	none
nav_choice_handler_1	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,di:16	void	callee exits	direct callers	none
nav_choice_handler_2	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,di:16,si:16	void	callee exits	direct callers	none
nav_choice_handler_3	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,si:16	void	callee exits	direct callers	none
nav_choice_handler_4	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,di:16	void	callee exits	direct callers	none
presentation_ready_gate	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
ship_3d_hud_palette_snapshot_and_camera_reset	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
entity_draw_full	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	ax:16	direct callers	direct callers	none
nav_chart_object_pick	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	ax:16	ax:16	direct callers	direct callers	none
back_buffer_copy_from	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	ax:16	direct callers	direct callers	none
subtitle_reveal_pump	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	cx:32	void	direct callers	direct callers	none
nav_center_wipe_span_table_build	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
presentation_mode_bits_update	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	ax:16	direct callers	direct callers	none
page_flip	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	ax:16	ax:8	direct callers	direct callers	none
screen_flags_init	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
matrix_table_clear_2a1b	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
bridge_steer_update	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	bx:16,flags:1	ax:16	direct callers	direct callers	none
bridge_panorama_frame_load	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	ax:16	direct callers	direct callers	none
ship_3d_projection_matrix_build	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
ship_3d_point_cloud_project	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
ship_3d_plot_point	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
ship_3d_point_cloud_randomize	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
ship_3d_object_sprite_project	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
dlg_line_id_scene_dispatch	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
presentation_update_1fb2	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
lookup_table_1fb5	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	bx:16	bx:16	direct callers	direct callers	none
resource_switch	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	flags:1	ax:16	direct callers	direct callers	none
resource_palette_blocks_apply	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	si:16	es:16,si:16	direct callers	direct callers	none
flag_gated_2751	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
close_file_d5b	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
resource_load_sequence	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
ems_resource_flush	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
list_d8c_refill_with_rollover_latch	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
list_d8c_activate_ready	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	flags:1	ax:16	direct callers	direct callers	none
list_d8c_advance_due	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	flags:1	ax:16	direct callers	direct callers	none
list_d8c_refill	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	ax:16	direct callers	direct callers	none
presentation_queue_finish	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
queue_d8c_wrap	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
queue_d8c_has_room	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	ax:16	direct callers	direct callers	none
queue_d8c_consume	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
list_d8c_state_le_one	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	ax:16	direct callers	direct callers	none
list_d8c_active_present	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
resource_rect_blit	closed_world_difference	direct_rebuilt_calls	none	near:0	near:8	si:16	void	direct callers	direct callers	none
list_d8c_activate_entry	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16	void	direct callers	direct callers	none
list_d8c_read	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,si:16	ax:16	direct callers	direct callers	none
banked_list_load	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	flags:1	ax:16	direct callers	direct callers	none
flag_test_b17	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	ax:8	direct callers	direct callers	none
ems_paged_read	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	flags:1	ax:16	direct callers	direct callers	none
queue_d8c_enqueue	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	flags:1	void	direct callers	direct callers	none
list_d8c_bounds_init	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
list_d8c_wrap_bounds_reset	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
list_d8c_init	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	ax:32	ax:8	direct callers	direct callers	none
list_d8c_palette_blocks_apply	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
mem_copy_words	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	di:16,es:16,si:16	ax:16,di:16,si:16	direct callers	callee exits	none
resource_payload_decode_dispatch	closed_world_difference	direct_rebuilt_calls	none	near:0	near:2	void	void	direct callers	direct callers	none
resource_payload_decode_ab	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
resource_payload_decode_ad	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	si:16	void	direct callers	direct callers	none
resource_pair_lz_decode	closed_world_difference	direct_rebuilt_calls	none	near:0	near:6	bx:16,cx:16	ax:16,dx:16,es:16	direct callers	direct callers	none
resource_payload_decode_rect	closed_world_difference	direct_rebuilt_calls	none	near:0	near:10	void	void	direct callers	direct callers	none
gfx_scanline_advance	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	bp:32,cx:16,di:16,ds:16	ax:16	direct callers	direct callers	none
ship_presentation_fsm	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
ship_3d_hud_init	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
ship_3d_target_record_select	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	ax:16	ax:16	direct callers	direct callers	none
ship_3d_navigation_update	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
name_area_palette_effect_update	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
location_info_panel_dispatch	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
nav_camera_state_check	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
alien_overlay_cycle	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
ship_3d_transition_state_update	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	ax:16	ax:16	callee exits	callee exits	none
ship_3d_plane_band_copy	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
ship_3d_depth_scroll_step	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
audio_param_init_cd5	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
audio_process_ade	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
snd_play_clip	external_exact	external	alien_xdb_callback	far:0	far:0	void	void	direct callers	direct callers	re/source/bloodprg/candidates/seg_0b1b/func_00b7b0_audio_param_init_cd5.c
snd_driver_call	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
snd_stream_start	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
snd_stream_refill	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
snd_bank_page_read	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
snd_bank_ems_page_read	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
snd_bank_xms_page_read	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
snd_bank_file_page_read	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
snd_stream_source_load	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
snd_bank_loader	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
