component	entry	source	function	rust_path	rust_symbol	documentation	evidence
xdb_amer	0x000cac	amer/func_000cac_slot1_motion_continuation.c	xdb_amer_slot1_motion_continuation	crates/commander-blood-game/src/native/alien/selection.rs	continue_wave_steering	Flat autonomous steering with typed view and cosine-table inputs, deterministic turn state, and exact wrapping gameplay arithmetic	re/tools/oracle_vectors/xdb_amer_func_0cac_natural.json:9
xdb_croolis	0x000d04	croolis/func_000d04_slot1_motion_continuation.c	xdb_croolis_slot1_motion_continuation	crates/commander-blood-game/src/native/alien/selection.rs	continue_wave_steering	Flat autonomous steering with typed view and cosine-table inputs, deterministic turn state, and exact wrapping gameplay arithmetic	re/tools/oracle_vectors/xdb_croolis_func_0d04_natural.json:9
xdb_scrut	0x000cf2	scrut/func_000cf2_slot1_motion_continuation.c	xdb_scrut_slot1_motion_continuation	crates/commander-blood-game/src/native/alien/selection.rs	continue_wave_steering	Flat autonomous steering with typed view and cosine-table inputs, deterministic turn state, and exact wrapping gameplay arithmetic	re/tools/oracle_vectors/xdb_scrut_func_0cf2_natural.json:9
bloodprg	0x002de2	seg_01ce/func_002de2_blood_prng_next.c	blood_prng_next	crates/commander-blood-game/src/native/random.rs	BloodPrng::next	Persistent PRNG state and exact update semantics	re/tools/oracle_vectors/prng_2de2.json:300
bloodprg	0x002e33	seg_01ce/func_002e33_binary_u32_sqrt.c	binary_u32_sqrt	crates/commander-blood-game/src/native/math.rs	binary_u32_sqrt	Original Newton estimate paths and exceptional high-word return	re/tools/oracle_vectors/func_2e33_natural.json:404
bloodprg	0x000986	seg_0000/func_000986_bcd_to_binary.c	bcd_to_binary	crates/commander-blood-game/src/native/bloodprg/numbers.rs	packed_bcd_to_binary	Packed-BCD nibble conversion across every byte input without retaining the DOS calling convention	re/tools/oracle_vectors/func_0986_natural.json:256
bloodprg	0x0024b2	seg_01ce/func_0024b2_decimal_append_i16.c	decimal_append_i16	crates/commander-blood-game/src/native/bloodprg/numbers.rs	append_decimal_i16	Signed 16-bit decimal append into owned UTF-8 text with the obsolete shared scratch and NUL cursor removed	re/tools/oracle_vectors/func_24b2_natural.json:8
bloodprg	0x0024eb	seg_01ce/func_0024eb_decimal_append_i32.c	decimal_append_i32	crates/commander-blood-game/src/native/bloodprg/numbers.rs	append_decimal_i32	Signed 32-bit decimal append into owned UTF-8 text including the minimum negative value	re/tools/oracle_vectors/func_24eb_natural.json:8
bloodprg	0x0025a4	seg_01ce/func_0025a4_string_compare.c	string_compare	crates/commander-blood-game/src/native/bloodprg/text.rs	nul_terminated_bytes_equal	Exact byte-string equality using validated CStr values instead of direction-sensitive DOS cursors	re/tools/oracle_vectors/func_25a4_natural.json:10
bloodprg	0x002612	seg_01ce/func_002612_ascii_digit_parse.c	ascii_digit_parse	crates/commander-blood-game/src/native/bloodprg/numbers.rs	parse_startup_audio_number	Closed-world signed parsing of the three-byte field supplied by the routine's sole recovered caller	re/tools/oracle_vectors/func_2612_generic.json:200
bloodprg	0x002665	seg_01ce/func_002665_bloodprg_strlen.c	bloodprg_strlen	crates/commander-blood-game/src/native/bloodprg/text.rs	nul_terminated_byte_len	Byte length of validated CStr data with DOS cursor probing removed	re/tools/oracle_vectors/func_2665_natural.json:9
bloodprg	0x002693	seg_01ce/func_002693_resource_source_select.c	resource_source_select	crates/commander-blood-game/src/assets.rs	OriginalResourceStore::source	Exact-case loose-resource routing and native archive-name lookup over typed immutable resource names	re/tools/oracle_vectors/func_2693_natural.json:8
bloodprg	0x0026cf	seg_01ce/func_0026cf_resource_archive_match.c	resource_archive_match	crates/commander-blood-formats/src/archive.rs	BloodArchive::member	Validated authored-order BLOOD.DAT member lookup with exact native byte folding and private payload ranges	re/tools/oracle_vectors/func_26cf_natural.json:8
bloodprg	0x00280f	seg_01ce/func_00280f_startup_resource_file_copy.c	startup_resource_file_copy	crates/commander-blood-game/src/assets.rs	OriginalResourceStore::copy_to_loose	Nonempty archive-or-loose resource copying to an explicit-root destination with complete owned bytes	re/tools/oracle_vectors/func_280f_natural.json:8
bloodprg	0x0028ca	seg_01ce/func_0028ca_resource_name_lookup.c	resource_name_lookup	crates/commander-blood-game/src/assets.rs	OriginalResourceStore::resource_len	Typed archive or host-file byte-count lookup with stale failed-search metadata rejected	re/tools/oracle_vectors/func_28ca_natural.json:8
bloodprg	0x002abb	seg_01ce/func_002abb_resource_file_load.c	resource_file_load	crates/commander-blood-game/src/assets.rs	OriginalResourceStore::load	Exact archive-member or loose-file loading into one owned byte allocation without chunk cursor artifacts	re/tools/oracle_vectors/func_2abb_natural.json:8
bloodprg	0x002b6b	seg_01ce/func_002b6b_file_create_and_write.c	file_create_and_write	crates/commander-blood-game/src/assets.rs	OriginalResourceStore::write_loose	Create-or-truncate writes below the configured root using complete byte slices and explicit errors	re/tools/oracle_vectors/func_2b6b_natural.json:8
bloodprg	0x002bfd	seg_01ce/func_002bfd_pbm_image_load_and_decode.c	pbm_image_load_and_decode	crates/commander-blood-game/src/native/bloodprg/pbm_image.rs	decode_pbm_image	Loose ordered PBM marker scanning six-bit palette refresh zero-transparent composition and native 0x80 repeat semantics over typed arrays	re/tools/oracle_vectors/func_2bfd_natural.json:12
bloodprg	0x0006f1	seg_0000/func_0006f1_startup_command_line_parse.c	startup_command_line_parse	crates/commander-blood-game/src/native/bloodprg/startup.rs	tokenize_startup_command	Owned token sequence preserving leading and repeated empty tokens without the DOS command-tail buffer	re/tools/oracle_vectors/func_06f1_natural.json:5
bloodprg	0x000726	seg_0000/func_000726_startup_option_apply.c	startup_option_apply	crates/commander-blood-game/src/native/bloodprg/startup.rs	apply_startup_option	Typed write-directory and audio configuration selected from the shipped startup option table	re/tools/oracle_vectors/func_0726_natural.json:10
bloodprg	0x006433	seg_04da/func_006433_dic_word_lookup.c	dic_word_lookup	crates/commander-blood-game/src/native/bloodprg/vm.rs	resolve_dictionary_object	Interned dictionary-word identity resolved to a typed active script object without resource pointers	re/tools/oracle_vectors/func_6433_natural.json:8
bloodprg	0x00647b	seg_04da/func_00647b_scan_zero_word.c	scan_zero_word	crates/commander-blood-game/src/native/bloodprg/vm.rs	count_positive_operands	Bounded leading-positive operand count over a Rust word slice	re/tools/oracle_vectors/func_647b_natural.json:10
bloodprg	0x006023	seg_04da/func_006023_vm_field_offset.c	vm_field_offset	crates/commander-blood-game/src/native/bloodprg/vm.rs	script_field_offset	Typed field-selector and object-kind matrix lookup over the complete shipped domain	re/tools/oracle_vectors/func_6023_natural.json:8
bloodprg	0x006034	seg_04da/func_006034_vm_record_lookup_by_threshold.c	vm_record_lookup_by_threshold	crates/commander-blood-game/src/native/bloodprg/vm.rs	object_before_threshold	Typed predecessor-object lookup with invalid before-directory reads rejected	re/tools/oracle_vectors/func_6034_natural.json:9
bloodprg	0x006293	seg_04da/func_006293_vm_token_special.c	vm_token_special	crates/commander-blood-formats/src/code.rs	scan_zero_terminated_payload	Bounds-checked byte-granular payload framing through the zero word and optional zero pad	re/tools/oracle_vectors/func_6293_natural.json:9
bloodprg	0x0062b6	seg_04da/func_0062b6_vm_token_advance.c	vm_token_advance	crates/commander-blood-formats/src/code.rs	decode_script_token	Stateful flat COD framing across the complete observable descriptor window with invalid backward cursor movement rejected	re/tools/oracle_vectors/func_62b6_natural.json:17
bloodprg	0x006462	seg_04da/func_006462_vm_branch.c	vm_branch_fail	crates/commander-blood-game/src/native/bloodprg/script.rs	ScriptRuntime::fail_guard	Typed root or nested guard-target consumption with invalid empty-stack access rejected	re/tools/oracle_vectors/func_6462_natural.json:7
bloodprg	0x006559	seg_04da/func_006559_vm_op_a0_push.c	vm_op_a0_push	crates/commander-blood-game/src/native/bloodprg/script.rs	ScriptRuntime::begin_guard	Owned guard-target push and explicit query-mode entry without byte-addressed stack state	re/tools/oracle_vectors/func_6559_natural.json:9
bloodprg	0x006572	seg_04da/func_006572_vm_op_a1_pop.c	vm_op_a1_pop	crates/commander-blood-game/src/native/bloodprg/script.rs	ScriptRuntime::end_guard	Typed nested-guard removal with the distinguished root retained and invalid byte offsets eliminated	re/tools/oracle_vectors/func_6572_natural.json:7
bloodprg	0x006588	seg_04da/func_006588_vm_op_a2_cond_call.c	vm_op_a2_cond_call	crates/commander-blood-game/src/native/bloodprg/script.rs	ScriptRuntime::random_guard	Recovered PRNG result gate routed through typed guard failure	re/tools/oracle_vectors/func_6588_natural.json:7
bloodprg	0x006596	seg_04da/func_006596_vm_op_a3_block.c	vm_op_a3_block	crates/commander-blood-game/src/native/bloodprg/script.rs	ScriptRuntime::concept_guard	Interned primary or alternate concept comparison with exact optional inversion truth table	re/tools/oracle_vectors/func_6596_natural.json:12
bloodprg	0x0065db	seg_04da/func_0065db_vm_op_a4_jump.c	vm_op_a4_jump	crates/commander-blood-game/src/native/bloodprg/script.rs	ScriptRuntime::jump	Typed COD destination with pending resume and alternate-concept state cleared	re/tools/oracle_vectors/func_65db_natural.json:6
bloodprg	0x0065eb	seg_04da/func_0065eb_vm_op_a5_cond_state_array.c	vm_op_a5_cond_state_array	crates/commander-blood-game/src/native/bloodprg/script.rs	ScriptRuntime::timer_state	Typed 128-word saved timer table with query and assignment forms and out-of-table signed indices rejected	re/tools/oracle_vectors/func_65eb_natural.json:8
xdb_manu3	0x000150	manu3/func_000150_frame_step.c	xdb_manu3_frame_step	crates/commander-blood-game/src/native/manu3/model.rs	step_frame	Model-presence gate and tween, matrix, projection, and face-stage ordering without framebuffer-segment setup	re/tools/oracle_vectors/xdb_manu3_func_0150_natural.json:7
xdb_manu3	0x00017c	manu3/func_00017c_anim_select_entry.c	xdb_manu3_anim_select_entry	crates/commander-blood-game/src/native/manu3/animation.rs	select_animation_entry	Flat-memory selector entry forwarding to typed animation scripts	re/tools/oracle_vectors/xdb_manu3_func_017c_natural.json:4
xdb_manu3	0x000181	manu3/func_000181_anim_select.c	xdb_manu3_anim_select	crates/commander-blood-game/src/native/manu3/animation.rs	select_animation	Five-bit selector masking and phased script activation	re/tools/oracle_vectors/xdb_manu3_func_0181_natural.json:4
xdb_manu3	0x00019b	manu3/func_00019b_tween_step.c	xdb_manu3_tween_step	crates/commander-blood-game/src/native/manu3/animation.rs	step_tweens	Fixed-point publication, wrapping accumulation, and swap removal	re/tools/oracle_vectors/xdb_manu3_func_019b_natural.json:8
xdb_manu3	0x0001df	manu3/func_0001df_tween_constructor.c	xdb_manu3_tween_constructor	crates/commander-blood-game/src/native/manu3/animation.rs	construct_tweens	Phased typed tween construction and camera completion	re/tools/oracle_vectors/xdb_manu3_func_01df_natural.json:8
xdb_manu3	0x000270	manu3/func_000270_matrix_build.c	xdb_manu3_matrix_build	crates/commander-blood-game/src/native/manu3/geometry.rs	build_projection_matrices	Q14 rotation, radial displacement, and hierarchical transform composition	re/tools/oracle_vectors/xdb_manu3_func_0270_natural.json:7
xdb_manu3	0x000549	manu3/func_000549_entity_project.c	xdb_manu3_entity_project	crates/commander-blood-game/src/native/manu3/geometry.rs	project_entities	Typed vertex traversal, clipping, clamping, and projection copies	re/tools/oracle_vectors/xdb_manu3_func_0549_natural.json:15
xdb_manu3	0x000700	manu3/func_000700_face_bucket_sort.c	xdb_manu3_face_bucket_sort	crates/commander-blood-game/src/native/manu3/raster.rs	sort_faces_into_buckets	Common-clip rejection, cyclic lowest-X rotation, native span bounds, and prepend bucket order before wgpu submission	re/tools/oracle_vectors/xdb_manu3_func_0700_natural.json:10
xdb_manu3	0x000d7d	manu3/func_000d7d_face_activate.c	xdb_manu3_face_activate	crates/commander-blood-game/src/native/manu3/raster.rs	face_is_active	Original reciprocal-table orientation, vertical-edge, backface, and degenerate decisions before GPU rasterization	re/tools/oracle_vectors/xdb_manu3_func_0d7d_gradient_natural.json:10
xdb_amer	0x00164c	amer/func_00164c_method_slot_2_dispatch_or_init.c	xdb_amer_method_slot_2_dispatch_or_init	crates/commander-blood-game/src/native/alien/slot2.rs	initialize_or_dispatch_slot2	Flat model ownership, deterministic random initialization, and typed callback dispatch without segmented state pointers or executable addresses	re/tools/oracle_vectors/xdb_amer_func_164c_natural.json:5
xdb_croolis	0x0016a4	croolis/func_0016a4_method_slot_2_4_dispatch_or_init.c	xdb_croolis_method_slot_2_4_dispatch_or_init	crates/commander-blood-game/src/native/alien/slot2.rs	initialize_or_dispatch_slot2	Flat per-node callback state, deterministic random and seed initialization, and typed callback dispatch without state-pointer traversal	re/tools/oracle_vectors/xdb_croolis_func_16a4_natural.json:5
xdb_scrut	0x001692	scrut/func_001692_method_slot_2_4_dispatch_or_init.c	xdb_scrut_method_slot_2_4_dispatch_or_init	crates/commander-blood-game/src/native/alien/slot2.rs	initialize_or_dispatch_slot2	Flat per-node motion and depth state, deterministic random and seed initialization, and typed callback dispatch without state-pointer traversal	re/tools/oracle_vectors/xdb_scrut_func_1692_natural.json:5
xdb_amer	0x0018d3	amer/func_0018d3_slot2_return_update.c	xdb_amer_slot2_return_update	crates/commander-blood-game/src/native/alien/slot2.rs	update_amer_return	Owned return-flight timer, velocity integration, signed angle normalization, and typed update transition	re/tools/oracle_vectors/xdb_amer_func_18d3_natural.json:7
xdb_amer	0x001a5c	amer/func_001a5c_slot2_steer_update.c	xdb_amer_slot2_steer_update	crates/commander-blood-game/src/native/alien/slot2.rs	update_amer_steering	Flat transformed-pose steering score, exact wrapping arithmetic, and typed finish transition	re/tools/oracle_vectors/xdb_amer_func_1a5c_natural.json:7
xdb_amer	0x001a2b	amer/func_001a2b_slot2_reset.c	xdb_amer_slot2_reset	crates/commander-blood-game/src/native/alien/slot2.rs	reset_amer_motion	Owned motion reset, deterministic random transition, and typed steering callback publication	re/tools/oracle_vectors/xdb_amer_func_1a2b_natural.json:4
xdb_amer	0x001688	amer/func_001688_slot2_restart.c	xdb_amer_slot2_restart	crates/commander-blood-game/src/native/alien/slot2.rs	restart_amer_update	Typed update publication and explicit same-pass continuation without an executable callback address	re/tools/oracle_vectors/xdb_amer_func_1688_natural.json:3
xdb_amer	0x00193e	amer/func_00193e_slot2_selection_wait.c	xdb_amer_slot2_selection_wait	crates/commander-blood-game/src/native/alien/slot2.rs	begin_amer_selection	Typed selection publication and explicit same-pass continuation without an executable callback address	re/tools/oracle_vectors/xdb_amer_func_193e_natural.json:3
xdb_amer	0x001aa0	amer/func_001aa0_slot2_finish_update.c	xdb_amer_slot2_finish_update	crates/commander-blood-game/src/native/alien/slot2.rs	update_amer_finish	Flat transformed-pose bounds, pitch clamping, wrapping steering score, and typed reset or selection transitions	re/tools/oracle_vectors/xdb_amer_func_1aa0_natural.json:8
xdb_amer	0x00171d	amer/func_00171d_slot2_common_update.c	xdb_amer_slot2_common_update	crates/commander-blood-game/src/native/alien/slot2.rs	update_amer_common	Flat radial easing, camera-relative return setup, wrapped roll classification, follower poses, and typed callback transition	re/tools/oracle_vectors/xdb_amer_func_171d_natural.json:10
xdb_amer	0x001b1a	amer/func_001b1a_unreferenced_steering_update.c	xdb_amer_unreferenced_steering_update	crates/commander-blood-game/src/native/alien/slot2.rs	update_unreferenced_steering	Flat projected-pose steering and typed previous-turn damping for the compiled but unreachable sibling	re/tools/oracle_vectors/xdb_amer_func_1b1a_natural.json:7
xdb_croolis	0x001a86	croolis/func_001a86_unreferenced_steering_update.c	xdb_croolis_unreferenced_steering_update	crates/commander-blood-game/src/native/alien/slot2.rs	update_unreferenced_steering	Shared flat translation of the byte-identical compiled but unreachable steering sibling	re/tools/oracle_vectors/xdb_croolis_func_1a86_natural.json:7
xdb_scrut	0x001b3b	scrut/func_001b3b_unreferenced_steering_update.c	xdb_scrut_unreferenced_steering_update	crates/commander-blood-game/src/native/alien/slot2.rs	update_unreferenced_steering	Shared flat translation of the byte-identical compiled but unreachable steering sibling	re/tools/oracle_vectors/xdb_scrut_func_1b3b_natural.json:7
xdb_amer	0x001692	amer/func_001692_slot2_update.c	xdb_amer_slot2_update	crates/commander-blood-game/src/native/alien/slot2.rs	update_amer_head	Typed selection, reset, or common continuation with flat transformed-pose bounds and owned random steering state	re/tools/oracle_vectors/xdb_amer_func_1692_head_natural.json:12
xdb_amer	0x001948	amer/func_001948_slot2_selection_update.c	xdb_amer_slot2_selection_update	crates/commander-blood-game/src/native/alien/slot2.rs	update_amer_selection	Typed restart, reset, late-selection, or common continuation using flat transformed pose and camera-view state	re/tools/oracle_vectors/xdb_amer_func_1948_head_natural.json:12
xdb_amer	0x0019cb	amer/func_0019cb_slot2_selection_late_update.c	xdb_amer_slot2_selection_late_update	crates/commander-blood-game/src/native/alien/slot2.rs	update_amer_late_selection	Typed selection-wait, reset, or common continuation with flat close-range steering and pitch easing	re/tools/oracle_vectors/xdb_amer_func_19cb_head_natural.json:10
xdb_croolis	0x001794	croolis/func_001794_slot2_motion_update.c	xdb_croolis_slot2_motion_update	crates/commander-blood-game/src/native/alien/slot2.rs	update_croolis_motion	Flat typed pitch and radial easing, roll integration, coupled follower angles, and exact signed heading rounding	re/tools/oracle_vectors/xdb_croolis_func_1794_natural.json:9
xdb_croolis	0x00178e	croolis/func_00178e_slot2_common_dispatch.c	xdb_croolis_slot2_common_dispatch	crates/commander-blood-game/src/native/alien/slot2.rs	dispatch_croolis_common	Typed model-identity latch routing into explicit motion or fade continuations without context addresses	re/tools/oracle_vectors/xdb_croolis_func_178e_natural.json:4
xdb_croolis	0x0017e4	croolis/func_0017e4_slot2_begin_fade.c	xdb_croolis_slot2_begin_fade	crates/commander-blood-game/src/native/alien/slot2.rs	begin_croolis_fade	Owned primary-position adjustment, fade timer setup, and typed same-pass callback continuation	re/tools/oracle_vectors/xdb_croolis_func_17e4_natural.json:4
xdb_croolis	0x0017f2	croolis/func_0017f2_slot2_fade_update.c	xdb_croolis_slot2_fade_update	crates/commander-blood-game/src/native/alien/slot2.rs	update_croolis_fade	Flat fifth-node fade publication, exact signed duration threshold, and explicit motion or restart continuation	re/tools/oracle_vectors/xdb_croolis_func_17f2_natural.json:7
xdb_croolis	0x00171d	croolis/func_00171d_slot2_restart.c	xdb_croolis_slot2_restart	crates/commander-blood-game/src/native/alien/slot2.rs	restart_croolis_update	Typed update publication, radial-target restoration, and explicit same-pass continuation without executable addresses	re/tools/oracle_vectors/xdb_croolis_func_171d_natural.json:3
xdb_croolis	0x001727	croolis/func_001727_slot2_update.c	xdb_croolis_slot2_update	crates/commander-blood-game/src/native/alien/slot2.rs	update_croolis_head	Typed selection, reset, or common continuation with flat transformed-pose bounds and owned random motion state	re/tools/oracle_vectors/xdb_croolis_func_1727_head_natural.json:12
xdb_croolis	0x001815	croolis/func_001815_slot2_selection_init.c	xdb_croolis_slot2_selection_init	crates/commander-blood-game/src/native/alien/slot2.rs	begin_croolis_selection	Typed selection callback publication and owned model-selection and camera-handoff clears without pointer globals	re/tools/oracle_vectors/xdb_croolis_func_1815_natural.json:4
xdb_croolis	0x001828	croolis/func_001828_slot2_selection_update.c	xdb_croolis_slot2_selection_update	crates/commander-blood-game/src/native/alien/slot2.rs	update_croolis_selection	Flat typed selection ownership, transformed-pose steering, follower animation, and explicit camera-reset continuation	re/tools/oracle_vectors/xdb_croolis_func_1828_head_natural.json:16
xdb_croolis	0x001960	croolis/func_001960_slot2_reset_or_camera.c	xdb_croolis_slot2_reset_or_camera	crates/commander-blood-game/src/native/alien/slot2.rs	update_croolis_reset_or_camera	Flat camera-relative steering or randomized camera placement with typed trigonometry and explicit continuation	re/tools/oracle_vectors/xdb_croolis_func_1960_natural.json:13
xdb_scrut	0x001711	scrut/func_001711_slot2_restart.c	xdb_scrut_slot2_restart	crates/commander-blood-game/src/native/alien/slot2.rs	restart_scrut_update	Typed callback restart and radial-target restoration without executable addresses	re/tools/oracle_vectors/xdb_scrut_func_1711_natural.json:3
xdb_scrut	0x00171b	scrut/func_00171b_slot2_update.c	xdb_scrut_slot2_update	crates/commander-blood-game/src/native/alien/slot2.rs	update_scrut_head	Flat selection, camera-bound, random target, signed timer, and explicit continuation logic	re/tools/oracle_vectors/xdb_scrut_func_171b_head_natural.json:13
xdb_scrut	0x001781	scrut/func_001781_slot2_common_dispatch.c	xdb_scrut_slot2_common_dispatch	crates/commander-blood-game/src/native/alien/slot2.rs	dispatch_scrut_common	Typed current-model latch comparison with an explicit halted continuation	re/tools/oracle_vectors/xdb_scrut_func_1781_natural.json:4
xdb_scrut	0x001787	scrut/func_001787_slot2_motion_update.c	xdb_scrut_slot2_motion_update	crates/commander-blood-game/src/native/alien/slot2.rs	update_scrut_motion	Flat eased primary motion and five typed follower poses with exact wrapping arithmetic	re/tools/oracle_vectors/xdb_scrut_func_1787_natural.json:11
xdb_scrut	0x0017e1	scrut/func_0017e1_slot2_begin_fade.c	xdb_scrut_slot2_begin_fade	crates/commander-blood-game/src/native/alien/slot2.rs	begin_scrut_fade	Typed preservation of the compiled but statically unreachable callback setup	re/tools/oracle_vectors/xdb_scrut_func_17e1_natural.json:3
xdb_scrut	0x0017e6	scrut/func_0017e6_slot2_fade_update.c	xdb_scrut_slot2_fade_update	crates/commander-blood-game/src/native/alien/slot2.rs	update_scrut_fade	Flat signed timer transition with explicit motion or restart continuation	re/tools/oracle_vectors/xdb_scrut_func_17e6_natural.json:7
xdb_scrut	0x001802	scrut/func_001802_slot2_selection_init.c	xdb_scrut_slot2_selection_init	crates/commander-blood-game/src/native/alien/slot2.rs	begin_scrut_selection	Typed scene selection-signal initialization and active-state clear	re/tools/oracle_vectors/xdb_scrut_func_1802_natural.json:4
xdb_scrut	0x001810	scrut/func_001810_slot2_selection_restart.c	xdb_scrut_slot2_selection_restart	crates/commander-blood-game/src/native/alien/slot2.rs	restart_scrut_selection	Flat callback publication and transformed X fractional-component capture	re/tools/oracle_vectors/xdb_scrut_func_1810_natural.json:4
xdb_scrut	0x00181b	scrut/func_00181b_slot2_selection_begin.c	xdb_scrut_slot2_selection_begin	crates/commander-blood-game/src/native/alien/slot2.rs	update_scrut_selection_begin	Typed selection lifecycle, exact asymmetric camera bounds, and damping-state transition	re/tools/oracle_vectors/xdb_scrut_func_181b_natural.json:10
xdb_scrut	0x001858	scrut/func_001858_slot2_selection_damp.c	xdb_scrut_slot2_selection_damp	crates/commander-blood-game/src/native/alien/slot2.rs	update_scrut_selection_damping	Flat arithmetic radial damping with typed steering or approach continuation	re/tools/oracle_vectors/xdb_scrut_func_1858_natural.json:7
xdb_scrut	0x0018d9	scrut/func_0018d9_slot2_steering_helper.c	xdb_scrut_slot2_steering_helper	crates/commander-blood-game/src/native/alien/slot2.rs	update_scrut_steering	Typed damping or approach precision, flat wrapped steering, and five owned follower poses	re/tools/oracle_vectors/xdb_scrut_func_18d9_natural.json:12
xdb_scrut	0x001868	scrut/func_001868_slot2_selection_approach.c	xdb_scrut_slot2_selection_approach	crates/commander-blood-game/src/native/alien/slot2.rs	update_scrut_selection_approach	Flat camera-relative fixed-point approach, typed bounds transitions, and verified steering carry routing without DOS addresses	re/tools/oracle_vectors/xdb_scrut_func_1868_natural.json:10
xdb_scrut	0x001952	scrut/func_001952_slot2_finish_setup.c	xdb_scrut_slot2_finish_setup	crates/commander-blood-game/src/native/alien/slot2.rs	begin_scrut_finish	Typed finish callback publication and explicit same-pass continuation without executable addresses	re/tools/oracle_vectors/xdb_scrut_func_1952_natural.json:3
xdb_scrut	0x001957	scrut/func_001957_slot2_finish_update.c	xdb_scrut_slot2_finish_update	crates/commander-blood-game/src/native/alien/slot2.rs	update_scrut_finish	Flat typed visual-node animation, signed depth phases, radial easing, scene ownership, and authored position restoration	re/tools/oracle_vectors/xdb_scrut_func_1957_natural.json:10
xdb_scrut	0x0019cf	scrut/func_0019cf_slot2_selection_reset_restart.c	xdb_scrut_slot2_selection_reset_restart	crates/commander-blood-game/src/native/alien/slot2.rs	reset_scrut_selection	Typed authored visual-node restoration, scene ownership clear, and explicit ordinary-restart continuation	re/tools/oracle_vectors/xdb_scrut_func_19cf_natural.json:8
xdb_scrut	0x001a03	scrut/func_001a03_slot2_active_reset_setup.c	xdb_scrut_slot2_active_reset_setup	crates/commander-blood-game/src/native/alien/slot2.rs	begin_unreferenced_scrut_active_reset	Typed preservation of the compiled but statically unreachable active-reset scene transition	re/tools/oracle_vectors/xdb_scrut_func_1a03_natural.json:4
xdb_scrut	0x001a11	scrut/func_001a11_slot2_reset_or_camera.c	xdb_scrut_slot2_reset_or_camera	crates/commander-blood-game/src/native/alien/slot2.rs	update_scrut_reset_or_camera	Flat fixed-distance steering or randomized camera-relative placement with typed trigonometry and explicit continuation	re/tools/oracle_vectors/xdb_scrut_func_1a11_natural.json:14
xdb_amer	0x001cfa	amer/func_001cfa_resume_pair_outside.c	xdb_amer_resume_pair_outside	crates/commander-blood-game/src/native/alien/resume.rs	update_resume_pair_steering	Typed pair bounds and fixed-point pitch and pan steering over direct node references	re/tools/oracle_vectors/xdb_amer_func_1cfa_natural.json:17
xdb_croolis	0x001c46	croolis/func_001c46_resume_pair_outside.c	xdb_croolis_resume_pair_outside	crates/commander-blood-game/src/native/alien/resume.rs	update_resume_pair_steering	Typed pair bounds and fixed-point pitch and pan steering over direct node references	re/tools/oracle_vectors/xdb_croolis_func_1c46_natural.json:17
xdb_scrut	0x001d06	scrut/func_001d06_resume_pair_outside.c	xdb_scrut_resume_pair_outside	crates/commander-blood-game/src/native/alien/resume.rs	update_resume_pair_steering	Typed pair bounds and fixed-point pitch and pan steering over direct node references	re/tools/oracle_vectors/xdb_scrut_func_1d06_natural.json:17
xdb_amer	0x001c03	amer/func_001c03_resume_apply_object_delta.c	xdb_amer_resume_apply_object_delta	crates/commander-blood-game/src/native/alien/resume.rs	update_resume_texture_motion	Typed texture-V animation at four named vertex indices with a packed wrapping phase	re/tools/oracle_vectors/xdb_amer_func_1c03_natural.json:10
xdb_croolis	0x001b5f	croolis/func_001b5f_resume_apply_object_delta.c	xdb_croolis_resume_apply_object_delta	crates/commander-blood-game/src/native/alien/resume.rs	update_resume_texture_motion	Typed texture-U animation at two named vertex indices with a packed wrapping phase	re/tools/oracle_vectors/xdb_croolis_func_1b5f_natural.json:10
xdb_scrut	0x001c14	scrut/func_001c14_resume_apply_object_delta.c	xdb_scrut_resume_apply_object_delta	crates/commander-blood-game/src/native/alien/resume.rs	update_resume_texture_motion	Typed texture-V animation at four named vertex indices with a packed wrapping phase	re/tools/oracle_vectors/xdb_scrut_func_1c14_natural.json:10
xdb_amer	0x001cbf	amer/func_001cbf_resume_stage_timeout.c	xdb_amer_resume_stage_timeout	crates/commander-blood-game/src/native/alien/resume.rs	update_resume_timeout	Typed texture update followed by a wrapping countdown and explicit final-stage selection	re/tools/oracle_vectors/xdb_amer_func_1cbf_natural.json:6
xdb_croolis	0x001c0b	croolis/func_001c0b_resume_stage_timeout.c	xdb_croolis_resume_stage_timeout	crates/commander-blood-game/src/native/alien/resume.rs	update_resume_timeout	Typed texture update followed by a wrapping countdown and explicit final-stage selection	re/tools/oracle_vectors/xdb_croolis_func_1c0b_natural.json:6
xdb_scrut	0x001ccb	scrut/func_001ccb_resume_stage_timeout.c	xdb_scrut_resume_stage_timeout	crates/commander-blood-game/src/native/alien/resume.rs	update_resume_timeout	Typed texture update followed by a wrapping countdown and explicit final-stage selection	re/tools/oracle_vectors/xdb_scrut_func_1ccb_natural.json:6
xdb_amer	0x001c7d	amer/func_001c7d_resume_stage_pair.c	xdb_amer_resume_stage_pair	crates/commander-blood-game/src/native/alien/resume.rs	update_resume_pair_stage	Direct paired-node references with signed radial averaging, typed steering, callback stage, and countdown	re/tools/oracle_vectors/xdb_amer_func_1c7d_natural.json:7
xdb_croolis	0x001bc9	croolis/func_001bc9_resume_stage_pair.c	xdb_croolis_resume_stage_pair	crates/commander-blood-game/src/native/alien/resume.rs	update_resume_pair_stage	Direct paired-node references with signed radial averaging, typed steering, callback stage, and countdown	re/tools/oracle_vectors/xdb_croolis_func_1bc9_natural.json:7
